,occupancy,bin1,bin2,H2S,temperature,humidity,date,time
178,23,32.7719298245614,37.11012094207511,75.56512378902045,33.33333333333326,88.88888888888889,2021-12-08,15:20:00
179,23,47.695906432748515,28.548695098663273,73.51991388589882,33.33333333333326,88.88888888888889,2021-12-08,15:30:00
180,22,53.70760233918127,41.51814131126671,73.51991388589882,28.8888888888888,88.88888888888889,2021-12-08,15:40:00
181,21,49.684210526315766,40.99299809038829,74.05812701829925,26.66666666666663,88.88888888888889,2021-12-08,15:50:00
182,22,49.00584795321636,38.574156588160406,73.41227125941873,28.8888888888888,88.88888888888889,2021-12-08,16:00:00
183,17,47.25146198830407,26.845957988542338,88.80516684607105,31.111111111111086,88.88888888888889,2021-12-08,16:10:00
184,16,34.50292397660817,30.79248886059834,71.3670613562971,31.111111111111086,88.88888888888889,2021-12-08,16:20:00
185,15,35.1111111111111,34.850413749204336,77.61033369214209,35.55555555555543,88.88888888888889,2021-12-08,16:30:00
186,16,48.42105263157893,33.1635900700191,73.6275565123789,39.999999999999886,88.88888888888889,2021-12-08,16:40:00
187,16,46.573099415204666,33.084022915340555,76.53390742734123,39.999999999999886,88.88888888888889,2021-12-08,16:50:00
188,16,40.53801169590642,32.04964990451941,73.19698600645856,44.44444444444446,88.88888888888889,2021-12-08,17:00:00
189,20,44.04678362573098,39.81540420114577,71.15177610333691,42.22222222222217,88.88888888888889,2021-12-08,17:10:00
190,21,48.39766081871343,39.322087842138764,73.41227125941873,37.777777777777715,88.88888888888889,2021-12-08,17:20:00
191,18,47.18128654970759,42.60025461489497,74.05812701829925,39.999999999999886,88.88888888888889,2021-12-08,17:30:00
192,16,41.87134502923975,33.084022915340555,74.59634015069967,44.44444444444446,88.88888888888889,2021-12-08,17:40:00
193,16,45.122807017543835,31.556333545512416,75.24219590958019,46.66666666666663,88.88888888888889,2021-12-08,17:50:00
194,16,47.29824561403507,50.39783577339274,75.78040904198062,42.22222222222217,92.5925925925926,2021-12-08,18:00:00
195,18,48.374269005847935,49.570337364735835,76.96447793326158,46.66666666666663,88.88888888888889,2021-12-08,18:10:00
196,17,47.18128654970759,50.811584977721196,94.72551130247578,46.66666666666663,88.88888888888889,2021-12-08,18:20:00
197,16,47.18128654970759,52.05283259070656,75.8880516684607,42.22222222222217,92.5925925925926,2021-12-08,18:30:00
198,13,44.163742690058456,49.984086569064296,78.47147470398278,44.44444444444446,92.5925925925926,2021-12-08,18:40:00
199,16,42.33918128654969,49.15658816040739,77.28740581270183,42.22222222222217,92.5925925925926,2021-12-08,18:50:00
200,17,44.163742690058456,50.39783577339274,80.30139935414424,39.999999999999886,92.5925925925926,2021-12-08,19:00:00
201,16,47.18128654970759,51.639083386378104,75.02691065662002,37.777777777777715,92.5925925925926,2021-12-08,19:10:00
202,18,40.91228070175437,50.39783577339274,75.67276641550053,35.55555555555543,92.5925925925926,2021-12-08,19:20:00
203,15,45.98830409356724,54.61489497135583,74.27341227125942,35.55555555555543,92.5925925925926,2021-12-08,19:30:00
204,13,45.98830409356724,63.82877148313177,68.35306781485468,35.55555555555543,92.5925925925926,2021-12-08,19:40:00
205,10,30.71345029239764,62.88987905792489,71.58234660925727,39.999999999999886,92.5925925925926,2021-12-08,19:50:00
206,9,44.77192982456138,51.639083386378104,73.19698600645856,42.22222222222217,92.5925925925926,2021-12-08,20:00:00
207,10,44.748538011695885,50.811584977721196,72.76641550053822,42.22222222222217,92.5925925925926,2021-12-08,20:10:00
208,10,31.69590643274853,53.29408020369192,71.04413347685683,46.66666666666663,92.5925925925926,2021-12-08,20:20:00
209,11,46.573099415204666,54.61489497135583,72.01291711517761,46.66666666666663,88.88888888888889,2021-12-08,20:30:00
210,10,46.573099415204666,63.82877148313177,69.42949407965554,44.44444444444446,92.5925925925926,2021-12-08,20:40:00
